id,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25
16420,45928,110,1600,36739,9061,15765,12610,603,78657,2291,18550,22073,39428,8413,47585,967,40480,10518,28597,982,168450,43103,16241,23383,19379
9263,38223,26949,415,9475,11855,140511,32144,9464,44535,8839,6346,47608,9844,22625,2020,42580,103793,29572,11678,125548,10557,20735,18212,56715,35645
17015,509,116844,14484,1779,11286,43258,19664,249358,56137,48260,83500,9103,23531,11347,10560,7520,2669,796,61651,10083,85242,2087,682,28501,8420
902,892,62204,9769,123763,11655,8078,175,194,25749,11361,67385,11101,196940,4789,9710,46798,117500,2457,19736,38618,80677,9322,1406,269,10823
37557,31439,30265,47694,10997,42006,10387,10404,297645,100914,36210,2140,10796,2085,33194,59146,25471,9460,58048,8584,1050,44322,37144,10354,8470,10673
9909,15267,7300,12220,10950,10170,9302,10436,2655,10875,9037,30500,66473,903,2182,27452,11415,36943,2321,859,3784,42597,66599,164,16406,36259
63,26337,2275,4965,32330,9361,32144,26203,260,11853,30815,11593,918,9374,9586,9333,68,36819,762,3179,177,38560,9741,4722,11834,2124
78802,12714,50463,39074,293,15875,56428,2280,25673,888,29030,22318,83857,10646,192,10992,2756,11704,27791,816,9849,2383,2291,62204,10510,52855
9598,10539,83718,195,25723,27303,17190,15489,9447,9479,415,2105,24126,13466,10634,21612,34637,26949,44490,16097,16771,9475,8769,2109,15389,49788
47018,56934,714,24808,68,1245,24077,9440,4584,11790,200,199,8844,18975,8491,24100,193,8494,13567,37530,13783,47199,25994,62695,2163,13554
687,2649,58048,6075,26578,10142,5971,47724,32059,21612,9441,36685,26269,37146,134368,287,23954,25447,50203,10126,71881,1073,10155,24525,16340,2067
139405,45929,11379,36819,29372,18129,18069,10110,746,19004,1955,14429,9095,11209,859,10220,525,8769,2086,20024,10635,36647,11331,14195,13554,37820
33689,2605,17362,9494,12122,2639,10371,13776,21362,42424,9336,26441,39074,12118,10328,10157,10587,8388,20794,12500,15658,10878,15762,25678,1968,9454
9603,10676,33408,11622,51333,68427,37144,37141,10642,9494,11418,26180,13342,42158,36447,14578,14709,41801,11228,2323,125537,10349,24584,27397,9877,2255
34615,8077,49471,26352,41852,24276,9387,13794,52855,35936,10136,39891,29946,143750,196280,9013,12187,61416,12472,27273,46498,33250,73969,35206,12129,11071
31174,9087,9882,14,43742,10416,28902,52782,53617,39113,120,26477,26483,9531,1370,26956,3033,53185,9445,5923,1368,60285,16158,32767,77915,8095
11443,9516,1091,8337,768,24587,71067,21352,15596,26156,79593,21589,11495,37722,59930,75386,27322,20318,38615,26255,28732,20468,8769,2108,549,17971
35196,11777,10537,795,858,9748,10449,10684,9489,20443,9058,11856,31863,9089,397,3064,11983,41963,18551,2613,9444,2058,639,9062,11232,30666
9312,9823,10656,200383,11005,177,2493,812,13,11678,10207,38295,2370,16307,33518,11066,13791,27475,12211,32631,415,8009,11597,2292,879,8011
577,56583,108312,476,489,6435,41659,2246,6623,11259,37144,345,617,8989,77670,1832,67307,8744,14013,27332,227,9283,31911,36943,11252,857
11861,38922,34760,37247,24735,8463,4587,6114,162,10641,20539,11465,10278,8078,42314,10357,110972,830,30159,36773,49963,705,13852,66588,11252,6068
807,10562,10480,12123,278,18989,8367,550,1535,819,9437,4477,161,2043,32484,11258,14621,41730,11831,630,125582,102304,403,125052,277270,10909
10530,31955,3981,197,10502,15171,12110,7443,9359,10345,2669,943,942,941,944,10396,11856,9659,10264,10326,29911,3595,8834,38557,8810,1727
8391,22490,9989,24481,42780,10314,11859,10242,13503,136558,12599,10991,78657,10399,61369,25430,3309,319,19379,29048,28295,28296,9678,2074,638,19366
629,379,9587,10307,9946,9311,58084,33516,49799,37636,117553,14370,29122,18069,18550,10635,114719,9536,889,77064,2924,11342,9445,7520,36657,59066
117164,39448,43802,14040,15762,15730,25796,10552,98491,10303,33518,114,4806,166680,10489,9507,17465,41516,15035,7305,11005,10329,2280,849,18417,3784
11448,124851,15556,11702,696,11561,703,11686,10440,11562,30890,11337,2639,19200,11302,11485,10569,4961,9684,9686,9611,11624,8217,11374,11517,106143
49133,10954,58098,14136,51521,191874,9611,21588,287821,11713,1363,12481,88224,117730,125317,121738,40880,68170,59066,51352,124475,51679,47452,35936,61563,47694
26441,28387,708,11545,28308,621,72277,10907,6003,1718,2605,33689,12919,33762,34314,42787,42424,9896,11352,10423,15247,9101,1710,19094,13346,6552
97406,6951,24739,26475,11934,41282,11929,9605,12774,13342,52744,30943,962,22479,45019,23333,1946,41240,1480,10225,9989,22733,10314,13503,31083,12508
124057,6217,14794,32119,185,20213,9453,331367,316098,1883,30168,42780,26378,16162,29572,20443,51242,10419,84198,10054,125498,2086,18414,9886,43106,46614
9089,11856,9058,31863,20443,3064,35196,32027,38809,11352,47817,12187,1710,10868,9359,11308,14612,11978,42486,32924,378,32456,11521,34314,32331,686
11010,64567,11216,35797,8076,9314,2923,124834,27103,11027,9922,23941,249,8336,32595,27145,11223,19562,33374,28774,10784,2108,30379,11663,10803,742
99040,19601,17447,1411,25993,39934,5257,88,41516,41784,185,12665,9816,55146,4031,124645,4486,4267,16172,251,11298,28120,139445,27418,10135,1880
11359,11899,11176,14900,630,10806,11371,9070,11353,118052,10276,33725,11649,21299,14628,10141,10648,11639,494,32484,45827,11479,20713,13155,10776,24918
17182,31017,47817,10057,17170,11967,9086,19176,42566,1644,1551,9972,11229,788,11372,185191,31638,18355,466,38153,22256,931,11398,20307,23210,121738
2054,10276,31220,12508,11674,9713,42158,10414,10057,10622,10635,36647,838,15413,3980,1648,10896,19150,11352,39473,9409,18069,14429,66034,2625,18282
10607,4248,12538,9625,26352,17006,1909,31603,1924,28,702,23449,10723,20678,18647,24664,11008,4247,198,13555,238,41638,41671,4825,9306,654
19760,25636,85242,10872,21132,32911,1645,215373,2767,2064,20758,39938,18783,26949,1641,29076,88423,26255,6435,8076,1493,64900,1642,1639,10468,31151
9536,18069,10635,18550,114719,889,2924,9423,867,9945,9638,4011,12241,9623,21873,36647,2613,16146,8838,600,134368,629,12475,14195,10945,19326
11525,27993,36943,14013,1832,857,56583,108312,577,489,77332,35122,221917,2193,9473,10163,12702,10603,265966,37636,7450,22915,617,10220,77670,11975
40628,3784,238,9366,1813,42314,8592,10174,9504,11062,9008,949,27958,240,6075,9475,968,242,12150,111,17443,9563,9040,125582,28978,124829
4482,8223,253632,218624,34604,11959,11446,2469,161795,18935,15658,397,188589,43535,15122,12614,12537,1051,6116,188588,34322,77074,171982,319,8217,11777
10634,16097,2109,9360,10016,16347,15489,9416,5175,10471,2105,21612,26949,10585,415,134368,9475,24126,49788,44490,16771,15389,13466,9479,9067,9429
755,5,680,500,184,7300,43143,12278,415,161,8068,6415,6623,1389,1880,134,27452,9276,9367,2133,17339,36606,9277,10054,28120,66473
11859,22490,24481,42780,10242,8391,2924,9423,867,49728,12241,10635,28295,61369,19379,25430,29048,3309,9945,18550,28296,18069,8838,77670,9623,114719
28387,26441,708,11545,28308,6003,621,72277,33344,10907,1718,53765,7863,9283,53151,42787,11065,11970,9340,676,17203,19094,11675,54968,39473,31947
48750,24167,266,22501,12652,39177,60951,3934,269,649,4484,11684,78285,64567,290157,42726,9103,50785,19562,10222,25739,43612,175,13666,26813,115810
20927,11853,15143,4104,22588,2640,192,1499,31643,9208,11258,31682,10787,25719,1552,8216,77074,9403,249,103488,25884,26174,127973,16619,47908,9382
36929,16384,957,23945,10692,16299,28172,2019,84499,143,14908,40820,83718,9354,10776,380,2280,11158,11873,20681,14778,6280,4986,24828,10655,628
9102,73482,73575,32600,4437,18355,11398,25993,578,14372,26912,9277,28628,579,5548,5549,11780,3076,33743,16858,2640,31643,10971,38558,642,1812
124626,31624,24128,4927,9355,12806,21352,279444,18603,113286,159569,168283,79306,24257,14002,42981,124632,101860,251481,15564,117036,45929,203829,113279,121738,32326
27526,14805,31306,2649,26578,13818,6075,687,30285,881,58048,47724,10142,5955,5971,32669,11020,51787,21612,46798,17971,1091,28732,11654,37146,134368
9623,4011,8838,2613,9433,8850,2087,573,2924,1669,8984,31908,867,9945,251,36915,18069,826,947,2246,889,18550,16110,9423,10635,9638
46785,17078,43771,13898,28171,47620,70282,15969,19209,11347,20759,38809,44490,10158,10336,408,10534,31611,13368,19380,9605,109,32075,52263,49365,65448
400,105,165,196,14550,13554,22345,41974,856,36357,15139,4105,32855,9458,43488,71067,9255,43510,10449,125498,707,18990,13715,4965,16307,10395
880,52654,38904,124829,10212,17139,47608,57575,40156,78256,23531,61934,14285,433,27033,1103,46748,9386,9103,28377,1847,34043,8741,125707,938,8011
146599,125582,311,10548,335,10236,532,278,527,18989,807,10562,12123,3784,10480,8367,869,238,40628,9366,1813,11978,95682,16094,37667,42314
188588,188589,161795,15658,11446,34604,24257,11959,8223,18935,14698,3086,21355,10668,11422,11816,15144,3597,53092,15171,3600,21,12614,253632,335,18282
8447,10497,12618,11457,547,9305,47724,15867,81949,1496,56830,9816,38225,23941,42981,10668,38809,21355,40651,2770,11068,84116,53092,9079,1880,23333
10534,8129,16337,27346,17897,184885,78231,50116,1644,31924,8348,12235,25188,14522,25189,38809,20759,15170,312,4105,348,9740,98,4421,9663,1541
17414,30547,11040,829,10937,475,8744,912,11963,75641,28614,10774,9651,31586,29143,17711,15660,15665,36536,21185,10869,17894,64802,15789,349394,132641
13997,12538,11381,14444,11688,39964,10956,8872,16618,17971,10897,4925,14342,11041,21137,102732,2171,11857,22323,1091,15489,30502,10162,49721,9622,28732
2086,1850,1630,41828,34723,40490,31535,29572,13907,8388,14334,9366,32119,11849,9749,522,922,14628,162,42780,622,2668,15489,2900,1598,26261
61548,44297,621,15267,1639,42807,21,19094,18519,35144,1547,32767,45928,2259,37969,35588,4488,12519,25430,44857,35796,46338,17711,47452,15560,95682
9095,859,36758,124614,52780,10110,24016,1551,8834,17126,6073,11191,18129,492,10873,32058,48213,9609,18069,243,10699,9079,8769,9441,114,4806
12158,26149,1883,10384,281,31357,20565,10557,11353,15765,10391,150043,150,659,33644,9085,808,12521,17159,11596,4233,4234,4232,37667,17918,33278
9283,7863,53151,54968,577,56583,108312,2164,929,602,28387,53765,6522,2024,19958,9349,10872,77670,37144,67307,21291,617,21132,8989,14013,12121
9208,2640,31643,11258,192,29918,30765,9651,319,55059,8438,754,26333,1380,1812,10419,20927,5491,8428,1808,10110,29471,621,11398,85242,955
40154,11971,14429,34299,3036,10945,124625,39775,11837,42218,10858,10806,63639,68924,6521,76857,11790,36049,22490,223,11462,10549,28176,10705,11498,39938
406,60670,194,47507,6312,24349,124475,3134,7305,37616,408,12478,77936,8843,98505,61651,110428,36344,21311,9464,2731,1959,2290,25512,78568,41050
45549,1946,11365,782,45565,172198,39424,8069,853,25994,1448,25147,9395,41952,1554,17897,846,80677,9425,3604,2292,25392,13203,10803,8413,2428
63076,53151,13907,28345,10155,1598,31610,11595,49803,117262,11570,10502,187851,29067,47139,54825,531,530,299121,8470,30168,50116,59733,31662,150,26941
11062,18129,1701,9444,35144,10806,12150,9366,1813,3784,238,40628,77314,8592,13554,37818,42314,968,14553,492,10174,25447,9040,2108,11456,94440
13685,8584,9398,11001,62994,8835,2182,24913,15122,10808,46286,8007,21719,1499,261246,5279,12628,9336,310431,38921,11103,2925,11622,17709,23223,10830
47475,8839,602,15300,2064,7450,638,16148,9825,65796,46625,531,11503,236,568,3536,664,53150,9404,40866,10882,251481,127602,40480,66034,12150
2045,11863,56651,31776,39473,769,17494,280,31947,50225,9619,10823,27281,9396,10464,38775,9671,32093,10557,11238,9290,15969,10220,11586,10447,28047
9614,2788,16148,9398,544,10723,36434,11298,9894,1597,2074,9032,9824,22318,14819,4967,10050,123047,27141,39314,9348,12582,33367,2084,8043,1641
688,9559,33,20391,429,66,15393,5551,10354,8879,17689,21866,10015,10650,11901,10747,8348,8197,9386,26170,24679,10651,10648,20006,10649,391
11907,56235,80677,117500,63945,67385,61560,196940,574,80471,120077,12481,11593,26610,8078,89992,60005,105763,194,10697,48217,22500,21596,47481,31417,2211
10874,76083,15196,14900,10437,11176,66034,619,19490,9631,21661,25562,19855,8487,36685,12138,24525,18862,397,617,10501,41952,20348,12506,9821,167
89333,18603,31498,21,10161,113286,159569,28120,168283,79306,24257,14002,12280,8470,10126,42981,9422,37094,9277,124632,101860,251481,2119,15564,606,949
96357,2604,20762,9333,38560,36049,18603,29251,90214,3172,36136,5854,5491,191874,18414,28296,311,17661,14412,122289,1933,29621,18734,96167,12518,63956
197,54850,5332,31955,3981,10530,10034,10502,9403,17044,2669,10264,10345,2024,8583,12110,9359,3595,8834,943,944,942,941,10396,11541,11856
103,40687,3064,29030,9731,36094,949,524,769,1598,68,586,635,1597,1578,1607,9013,2621,22625,24137,9434,819,8195,11005,11371,5971
33542,12207,65203,91598,5175,9404,11134,11713,10975,10974,2109,10622,9438,29968,19267,8584,28134,20697,23805,38955,30814,990,125709,18764,10098,108316
43566,1945,104301,27418,29076,17126,1770,11780,424,40962,9819,4415,52744,11618,1893,12102,32567,12186,21736,6071,9458,10937,9605,38718,12502,13818
71754,8293,11257,261246,5279,229,56164,44705,76857,45609,12502,54795,9008,104103,9271,11983,10396,24453,26282,45671,22356,3085,39391,33214,15209,18835
43612,78285,2787,90414,39177,4484,11684,12652,13403,15855,37636,10402,60951,47889,84586,121357,20343,25739,25059,788,31638,266,6878,3934,22501,94260
51352,11393,10264,12560,75,10998,2259,37135,3036,59585,859,12235,9465,3767,63639,11674,41417,76857,43455,11790,77223,38718,10549,532,10705,11971
16934,11054,15730,28156,8738,31507,792,9942,1610,77571,9416,10336,99479,43911,10673,47947,2362,122289,1493,34379,32076,17600,249882,3133,343,10057
10324,2107,17709,10439,11074,97805,17402,4327,65157,143,16263,32872,11800,47585,765,37567,9576,42987,34053,34299,10730,16299,42186,11780,12524,48259
78406,14662,126152,4105,9458,10364,21253,18153,2134,1775,562,22797,26686,19952,20678,3121,2887,11904,18317,43079,9377,51321,30202,22279,10137,10974
55731,6106,9604,525,18133,10345,28313,44465,9452,14398,46786,11888,9449,26689,18423,14900,11889,27332,10559,46435,10869,25440,5852,8469,10013,18885
32119,124057,42780,29572,51242,681,20443,2086,522,3784,12129,922,9737,9366,162,622,505,77936,15144,2900,1909,21355,3086,18691,10668,12478
11066,95743,11353,150,177,11005,13,9085,2493,812,16094,808,10207,38295,33518,9312,11678,20759,17159,13791,2370,27475,16888,6522,9713,10136
11104,11782,36266,843,40751,11220,9660,11575,239,58372,9529,36568,976,21879,1380,25438,36489,32562,18203,28941,166,9626,26960,319,57834,85778
37975,10867,11216,10376,429,30285,9781,311,9028,26748,335,12508,391,31624,200383,11,938,152,154,32015,174,22692,193,172,1893,54007
2074,319,638,9678,8649,47199,10072,2212,2033,28732,11355,39180,2788,65134,11815,9614,55306,10307,16148,1873,24212,21849,47686,9398,828,8130
27793,3604,61416,195,64382,26263,65203,13757,1370,10134,34941,10461,9073,63956,34636,34584,5925,18519,1634,1687,88224,5652,10061,10796,1103,24212
44284,44322,17707,90715,120,58062,1688,249,10047,2759,79515,274,9586,25560,185191,1245,20024,2259,192,78256,221917,41946,19076,32590,9361,123
290157,68170,2005,29371,18764,843,266,39177,22501,60951,3934,48750,649,4484,12652,11684,78285,64567,62677,20096,143750,19490,44465,11257,2900,132641
110972,10357,36773,10278,11252,49963,6068,43535,38922,37247,34760,13852,830,532,30159,24735,8463,705,34746,22688,15007,125762,9869,11673,11861,77
32622,43368,2302,31342,21887,32060,985,24226,47333,11337,26648,14832,47588,65046,255546,3086,705,291731,10461,46797,22479,98502,45153,26561,7443,125021
73067,11478,10866,845,65501,56583,108312,577,167738,56077,10399,14328,40688,55727,51179,28774,32146,13681,10547,857,77670,51787,40932,37144,26573,67307
11863,2045,56651,31776,39473,10972,9619,280,31947,9558,10823,38775,32093,9552,9671,9396,10557,11238,9290,15969,27958,6071,2779,11586,32043,10479
55475,9410,18183,19101,9560,79474,65749,34322,171982,8217,11777,16158,17447,13818,25562,10635,11068,77074,22733,10478,114719,2039,2280,22597,19382,4587
124636,15489,29887,134368,21873,2105,21612,10634,26949,10585,415,9475,10117,24126,16097,49788,2109,13466,44490,9479,16771,15389,13539,26580,9429,11397
9101,34314,33762,10423,33657,11352,1710,2768,12584,33668,19317,910,378,19931,4281,10351,50541,69605,214735,2255,9032,93350,713,46889,9089,39197
123360,27607,11307,269,39953,24081,1955,8217,2157,10149,17771,2666,47434,175,1552,9403,77074,25884,26174,127973,20927,963,2756,9382,9447,16619
5757,9447,27256,103793,1552,77074,9403,25884,18892,127973,26174,9382,42987,20927,963,2756,16619,33743,15143,10034,11800,27607,11853,26648,1633,11307
39428,259209,75250,25520,16306,12236,10587,71,26964,27854,278621,2006,31945,27593,1624,16420,24266,107743,45928,215373,17600,18990,1939,22292,2291,18561
124639,9469,769,17494,50225,27281,28975,2019,14821,1923,10464,32611,60276,32569,34314,42159,28047,9523,28580,26282,2045,521,221,11826,34077,99479
9302,12220,10170,10950,2655,10436,10875,9037,30500,3784,7300,66599,9909,2321,16406,66588,11393,14347,30943,11134,11220,9277,146,606,10236,51352
11000,6346,10393,8012,9798,11306,8963,10083,12106,8007,33,66,11088,592,177,8536,10562,9428,14911,5693,9967,11005,31606,1632,1051,11072
249882,10784,9417,29064,10336,5769,10803,39176,99479,66597,54575,30379,8738,11800,10673,41946,43911,150043,11223,1552,792,21721,9942,10141,33374,9737
16388,28973,93350,11363,31016,66473,26580,73,35233,4985,4967,41007,15739,12626,45019,37718,12479,20322,462,11371,33250,12186,525,33725,18030,27265
9737,28121,6522,38129,16094,16096,607,20701,43230,20239,12129,11001,50031,20794,9600,10336,398959,10671,14034,299,30157,18423,8388,17691,8738,11469
30765,29918,9208,9651,2640,192,31643,11258,55059,11777,1619,10537,35196,45864,795,9062,9748,858,43463,10684,10449,9489,796,11967,319,104878
10474,9096,34444,579,597,1587,580,9313,36834,1907,454,9880,29193,14736,11068,9079,38809,23283,23333,9425,20697,41417,27092,547,38043,13496
22279,26371,509,11347,712,562,18317,10766,41160,10154,36657,7227,11306,11232,44705,11472,981,43795,12519,9705,900,10497,14040,15497,15515,10612
30157,37291,9844,1802,35797,24266,26255,11531,213985,16096,93946,5333,49799,20794,28121,9737,6522,398959,299,10671,8388,38129,46986,17691,16094,124475
568,3536,664,10223,31465,21128,49645,838,40820,2619,236,8839,15300,602,47475,7450,2064,9404,53150,24828,40866,10882,251481,51942,11259,12280
11780,10730,16858,9576,12524,48259,34053,66588,11027,57834,1945,27418,104301,13939,43566,29076,3526,42087,17941,31978,34299,14577,91217,28313,50043,2107
34996,19382,707,13715,91076,21612,9558,21430,98499,20681,10668,45905,11336,9033,28774,15050,18990,11980,68445,16307,49299,682,14550,105,10395,19
414,10731,5503,820,8845,178,57834,25497,16769,29143,5551,847,11969,607,10586,11808,415,29973,31642,10357,9306,10479,10398,20075,14136,10326
649,266,60951,39177,22501,3934,48750,12652,16,35206,4484,11684,78285,64567,5781,36245,124614,290157,11654,49935,11481,11618,1716,11370,12257,25739
1873,275,11368,77223,56077,10778,35680,319,18168,638,47199,644,8649,2212,9678,2074,16093,184885,2033,10072,11532,10399,95682,3526,28732,65134
5894,10149,14839,41946,19379,13549,1585,13853,139058,713,9448,2142,20307,13787,42848,11051,44535,32669,29911,36606,29154,26661,3073,11455,93946,11326
1775,26686,2887,562,19259,30690,11064,2609,20678,2134,43079,9377,22797,11904,30168,617,14662,18317,78406,30202,51321,10974,41952,207541,30815,11663
8839,15300,47475,602,7450,2064,11855,9464,638,16148,9825,46625,11503,795,40866,236,568,3536,10882,664,53150,9404,9844,42580,9263,56715
20649,10220,52856,51679,91076,58985,134,14839,41823,2142,32669,713,29911,13787,11051,44535,36606,379,11450,1713,52654,18420,982,23618,33519,10279
10329,124821,2163,2637,3980,15379,37165,13907,133115,12663,39930,8386,24575,329,40639,62488,1018,23928,14295,7305,161806,18192,15762,494,11649,117164
8963,9798,11000,6346,10083,11306,10393,8012,8007,12106,33,66,9800,11088,9665,9944,9967,41817,8536,14911,10562,31606,592,1632,5693,9428
26564,11718,1548,14271,19124,68,4722,11569,762,18603,21,113286,56235,159569,28120,177,168283,583,36819,79306,39314,20096,11527,24257,14002,12280
8068,3682,133575,1968,20682,9691,5,253632,8818,2057,90148,48781,17402,4203,2469,9342,22048,28308,31306,20761,46029,1911,755,9367,24587,9276
8512,11015,9800,9944,9665,41817,31004,8470,78140,83718,20681,380,40820,10684,11873,9411,31618,36929,9717,8963,10655,9481,14778,9271,4986,9960
1572,11416,38718,9313,12537,11849,562,1413,2293,30265,45712,37141,9769,75250,1642,1573,4961,9540,23239,30815,11593,104896,918,9374,9586,50562
13552,1811,35122,29946,67323,143750,18892,11071,38560,5652,31004,25678,12500,9268,94440,10154,12518,59585,25221,14683,2100,36136,25682,43037,2164,34322
259209,766,12488,9378,39428,20681,2604,11873,71,278621,2006,27854,380,40820,4986,83718,9717,36929,9960,10655,14778,107743,31618,628,24828,96196
6520,4824,1049,114,4806,26789,1669,89,117,506,10763,41006,1368,2768,10641,1592,2625,16642,1369,2148,9531,24575,813,12151,2623,2637
9073,14864,1634,18519,10216,9529,27461,10134,159569,12500,74239,8545,11357,25678,248757,11223,8336,27793,218,10803,983,33374,32502,12498,9415,9417
10428,3558,9481,9679,2057,1995,18555,55058,10381,167,12635,45609,4925,5503,43368,79306,26170,7227,10731,682,178,10766,93,102732,52633,414
17447,15752,985,20334,73575,11697,36657,10380,193,88,39934,5257,1411,25993,185,4031,99040,9816,4267,55146,41516,12665,124645,10577,16172,10564
9886,563,10496,50819,10685,1089,21309,34941,468,19259,154,174,13533,12123,1648,1637,9285,12656,1649,1813,10393,78373,315,20857,42780,1689
9482,7095,20857,67307,2176,17908,9415,10385,10411,75531,212,11561,24113,18417,696,11862,11686,242,703,38925,28029,10440,24679,1367,18254,1371
19326,17832,9308,111794,288173,9536,12475,13203,9429,46929,20343,41590,22915,24584,10220,525,29372,2609,11568,8769,37820,753,24081,19259,20637,621
9344,19366,865,331367,36136,183955,9517,28430,26378,26865,85325,21242,12311,770,67323,66034,40507,2302,24081,125498,10419,17661,8356,30168,1630,127973
9071,29825,49963,13595,27845,16,12257,54850,5332,197,1844,161806,18762,4486,11618,22500,27431,10585,36929,124614,11654,49935,16146,17044,11481,18462
8973,18168,644,32059,872,26398,9631,27591,8197,37144,229,5279,9003,617,41952,19855,24831,25562,619,24525,12506,397,167,8367,125099,261246
15730,11054,16934,31507,28156,1610,77571,15762,43802,14040,47302,25796,117164,98491,4486,47947,122289,343,13891,11005,2280,114,4806,13850,18417,3784
47608,11495,11003,601,9264,26949,10552,33680,11355,9716,12257,41282,11091,9454,415,9475,34106,11576,40156,10212,38223,9263,15489,22625,6346,184885
2293,37141,125263,7341,59181,11416,104896,75250,45712,12537,38718,1572,1642,9313,23239,11849,4961,14369,2294,50562,15513,9571,9425,80287,1413,814
9070,11176,39314,6499,15513,31586,11899,15789,630,9425,11649,118052,11940,10796,21299,32484,13342,17711,11107,19405,29756,7341,32502,494,1639,26475
68274,23570,1965,10862,17941,1934,8052,1213,18074,10215,2280,3573,9410,9889,888,10992,10510,24081,9570,22318,15875,38982,14534,12662,5693,25673
48787,244,1213,46748,25005,8074,9406,9281,35201,274,28047,9433,2669,40505,9342,43194,297,14052,4476,37257,11234,2108,10906,849,9570,161070
34574,1448,16110,9825,17887,11422,3086,10223,11816,2140,10467,23685,1689,10660,10540,10499,55306,21711,32613,32458,9827,624,11954,29074,21362,29056
1642,45712,4961,1645,11416,2293,37141,1572,9313,75250,38718,12537,11849,23239,104896,50562,11457,659,15556,26949,29076,1639,1493,1413,11660,6435
11472,9740,9397,9465,6440,330,32636,334,695,26371,509,22279,32646,11347,11286,8984,251,48311,19664,18282,4478,29242,44772,1779,19214,40446
